ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Disease comment	Complex comment	subunits(Gene name syn)	subunits(Protein name)	PubMed ID	Subunits comment	SWISSPROT organism
7488	DTNBP1(1B)-HDAC3 complex	Human	None	Neuroblastoma cells	O15379;Q96EV8-3	8841;84062	MI:0019-coimmunoprecipitation;MI:0096-pull down	None	None	None	None	HDAC3;DTNBP1	None	None	None;BLOC1S8,My031	Histone deacetylase 3;Dysbindin 1-B	25196196	Dysbindin-1 formed a protein complex with HDAC3 in human neuroblastoma cells and in mouse brain. The interaction between dysbindin-1 and HDAC3 occurred in an isoform-specific manner: HDAC3 coupled with dysbindin-1A and -1B, but not -1C (PMID:25196196).	Homo sapiens (Human);Homo sapiens (Human)
7490	VEGF-A165-VEGFR2 complex	Human	None	None	P15692-4;P35968	7422;3791	MI:0004-affinity chromatography technologies	GO:0045807	positive regulation of endocytosis	None	None	VEGFA;KDR	None	VEGF-A binding to VEGFR2 triggers distinct patterns of ubiquitylation, proteolysis and clearance within the endosome-lysosome system. VEGF-A isoforms had distinct properties in regulating VEGFR2 endocytosis at the plasma membrane, it was predicted that VEGF-A-stimulated VEGFR2 degradation was isoform-specific. It was confirmed that this was indeed true: VEGF-A121 showed negligible effects on VEGFR2 degradation; however, VEGF-A165 or VEGF-A145 showed a similar 30% reduction in total VEGFR2 levels after 120 min (PMID:7044325).	VEGF-A165;FLK1, VEGFR2	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	27044325	None	Homo sapiens (Human);Homo sapiens (Human)
7491	VEGF-A145-VEGFR2 complex	Human	None	None	P15692-6;P35968	7422;3791	MI:0004-affinity chromatography technologies	None	None	None	None	VEGFA;KDR	None	VEGF-A binding to VEGFR2 triggers distinct patterns of ubiquitylation, proteolysis and clearance within the endosome-lysosome system. VEGF-A isoforms had distinct properties in regulating VEGFR2 endocytosis at the plasma membrane, it was predicted that VEGF-A-stimulated VEGFR2 degradation was isoform-specific. It was confirmed that this was indeed true: VEGF-A121 showed negligible effects on VEGFR2 degradation; however, VEGF-A165 or VEGF-A145 showed a similar ?30% reduction in total VEGFR2 levels after 120?min. EGF-A isoforms promoted differential patterns of VEGFR2 ubiquitylation, proteolysis and terminal degradation (PMID:7044325).	VEGF-A145;FLK1, VEGFR2	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	27044325	None	Homo sapiens (Human);Homo sapiens (Human)
7493	sGNAI2-DRD2 receptor complex	Human	sGi2-D2-receptor complex	BHK cells	P04899-4;P14416	2771;1813	MI:0004-affinity chromatography technologies	GO:0060159	regulation of dopamine receptor signaling pathway	None	None	GNAI2;DRD2	None	sGi2 protein participates in the formation of an intracellular D2 receptor pool by specific protein-protein interaction and in the regulation of the density of these receptors at the cell membrane (PMID:17550964 )	sGNAI2B;None	Guanine nucleotide-binding protein G(i) subunit alpha-2;D(2) dopamine receptor	17550964	None	Homo sapiens (Human);Homo sapiens (Human)
7494	Adrb2-GNAS(L) complex	Mammalia	beta2AR-GsalphaL complex	None	P07550;P63095	154;24896	MI:0004-affinity chromatography technologies	GO:0004941	beta2-adrenergic receptor activity	None	None	ADRB2;Gnas	None	None	ADRB2R B2AR;Gnas1, GsalphaL	Beta-2 adrenergic receptor;Guanine nucleotide-binding protein G	9478963	The beta2AR in beta2ARGsalphaL showed hallmarks of constitutive activity (increased potency and intrinsic activity of partial agonists, increased efficacy of inverse agonists, and increased basal GTPase activity) compared with the beta2AR in beta2ARGsalphaS. The apparent constitutive activity of the beta2AR in beta2ARGsalphaL may be due to the lower GDP affinity of GsalphaL compared with GsalphaS, i.e. GsalphaL is more often nucleotide-free than GsalphaS and, therefore, more frequently available to stabilize the beta2AR in the active (R*) state. This study demonstrates that subtle structural differences between closely related G-protein alpha-subunits can have important consequences for the functional properties of a G-protein-coupled receptor (PMID:9478963).	Homo sapiens (Human);Rattus norvegicus (Rat)
7495	KDR-VEGF-A121 complex	Human	VEGF121-VEGFR2 complex	None	P15692-9;P35968	7422;3791	MI:0114-x-ray crystallography	None	None	None	None	VEGFA;KDR	None	None	VEGF121;FLK1, VEGFR2	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	22207738	None	Homo sapiens (Human);Homo sapiens (Human)
7496	NRP2-VEGF-A165 complex	Human	None	None	O60462;P15692-4	8828;7422	MI:0030-cross-linking studies	None	None	None	None	NRP2;VEGFA	None	None	VEGF165R2;VEGF-A165	Neuropilin-2;Vascular endothelial growth factor A	11278319	None	Homo sapiens (Human);Homo sapiens (Human)
7497	FLT1-VEGF-A121 complex	Human	VEGFR1-VEGF-A121 complex	None	P15692-9;P17948	7422;2321	MI:0114-x-ray crystallography	None	None	None	None	VEGFA;FLT1	None	None	VEGF121;FLT FRT VEGFR1	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 1	22207738	None	Homo sapiens (Human);Homo sapiens (Human)
7498	NRP1-VEGF-A145 complex	Human	None	PAE cells	O14786;P15692-6	8829;7422	MI:0019-coimmunoprecipitation	None	None	None	None	NRP1;VEGFA	None	VEGF-A145 showed competition for binding to NRP1. (PMID:18559514).VEGF-A145 lacks the NRP1-binding exon 7, but exon 8 in the vegf-a gene has also been implicated in binding to NRP1 (PMID:16513643)	NRP, VEGF165R;VEGF-A145	Neuropilin-1;Vascular endothelial growth factor A	18559514	None	Homo sapiens (Human);Homo sapiens (Human)
7499	VEGFA-VEGF-B167 complex	Human	None	293EBNA cells	P15692;P49765-2	7422;7423	MI:0019-coimmunoprecipitation	None	None	None	None	VEGFA;VEGFB	None	The ability of VEGF-B to heterodimerize with VEGF is consistent with the conservation of the eight cysteine residues involved in inter- and intramolecular disulfide bonding. The coexpression of VEGF-B and VEGF in many tissues suggests that VEGF-B167-VEGF heterodimers occur naturally. The formation and cell association of such heterodimers may affect the formation of VEGF homodimers and thus indirectly control release and bioavailability of VEGF (PMID:8637916).	VEGF;VRF, VEGFB-167	Vascular endothelial growth factor A;Vascular endothelial growth factor B	8637916	None	Homo sapiens (Human);Homo sapiens (Human)
7500	KDR-VEGF-A189 complex	Human	None	None	P15692-13;P35968	7422;3791	MI:0051-fluorescence technologies	None	None	None	None	VEGFA;KDR	None	None	VEGF189;FLK1, VEGFR2	Vascular endothelial growth factor A;Vascular endothelial growth factor receptor 2	28392095	None	Homo sapiens (Human);Homo sapiens (Human)
7501	NRP1-VEGF189 complex	Human	None	None	O14786;P15692-2	8829;7422	MI:0004-affinity chromatography technologies	None	None	None	None	NRP1;VEGFA	None	None	NRP, VEGF165R;VEGF189	Neuropilin-1;Vascular endothelial growth factor A	25519242	None	Homo sapiens (Human);Homo sapiens (Human)
7505	Rgs11-Gbeta5S-Rgs9-Grm6 complex	Mouse	None	HEK293T cells	O54828;P62881-2;Q5NCH9;Q9Z2H1	19739;14697;108072;50782	MI:0019-coimmunoprecipitation	GO:0097470	ribbon synapse	None	None	Rgs9;Gnb5;Grm6;Rgs11	None	None	None;Gnb5S;Gprc1f,Mglur6;None	Regulator of G-protein signaling 9;Guanine nucleotide-binding protein subunit beta-5;Metabotropic glutamate receptor 6;Regulator of G-protein signaling 11	19625520	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7527	LAF177-LAF331 complex	Human	None	None	O95278;O95278-7	7957;7957	MI:0096-pull down	None	None	None	None	EPM2A;EPM2A	None	the phosphatase activity of the laf177\u2013laf331 and laf177\u2013laf317 complexes was found to be lower than that of laf177 (PMID:22036712).	LAF331;LAF177	Laforin;Laforin	22036712	None	Homo sapiens (Human);Homo sapiens (Human)
7528	laf177-laf317 complex	Human	None	None	O95278-2;O95278-7	7957;7957	MI:0096-pull down	None	None	None	None	EPM2A;EPM2A	None	The phosphatase activity of the laf177\u2013laf331 and laf177\u2013laf317 complexes was found to be lower than that of laf177 (PMID:22036712).	Laf317;LAF177	Laforin;Laforin	22036712	None	Homo sapiens (Human);Homo sapiens (Human)
7551	SMYLE-AKAP9-EB1-PKAr2alpha-EB3-CDK5RAP2-PKAcalpha-PKAr2beta complex	Human	None	HEK293F cells	P13861;P17612;P31323;Q15691;Q5VU43-13;Q96SN8;Q99996;Q9UPY8	5576;5566;5577;22919;653513;55755;10142;22924	MI:0030-cross-linking studies;MI:0096-pull down	GO:0010968;GO:0005813	regulation of microtubule nucleation;centrosome	70.05	centrosome	PRKAR2A;PRKACA;PRKAR2B;MAPRE1;PDE4DIP;CDK5RAP2;AKAP9;MAPRE3	None	None	PKR2, PRKAR2;PKACA;None;EB1;SMYLE,CMYA2,KIAA0454,KIAA0477,MMGL;CEP215 KIAA1633;AKAP350 AKAP450 KIAA0803;EB3	cAMP-dependent protein kinase type II-alpha regulatory subunit;cAMP-dependent protein kinase catalytic subunit alpha;cAMP-dependent protein kinase type II-beta regulatory subunit;Microtubule-associated protein RP/EB family member 1;Myomegalin;CDK5 regulatory subunit-associated protein 2;A-kinase anchor protein 9;Microtubule-associated protein RP/EB family member 3	29162697	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7552	SMYLE-EB1-EB3 complex	Human	None	None	Q15691;Q5VU43-13;Q9UPY8	22919;653513;22924	MI:0030-cross-linking studies;MI:0096-pull down	None	None	None	None	MAPRE1;PDE4DIP;MAPRE3	None	None	EB1;SMYLE,CMYA2,KIAA0454,KIAA0477,MMGL;EB3	Microtubule-associated protein RP/EB family member 1;Myomegalin;Microtubule-associated protein RP/EB family member 3	29162697	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
7569	Ldb3(CypherS)-Myoz2-Pdlim5 complex	Mouse	ENH-CypherS-Calsarcin-1 complex	Heart	Q8CI51;Q9JJW5;Q9JKS4-2	56376;59006;24131	MI:0029-cosedimentation through density gradients	GO:0030018;GO:0045214	Z disc;sarcomere organization	None	None	Pdlim5;Myoz2;Ldb3	Dilated cardiomyopathy (PMID:20538684).	ENH forms a protein complex with Cypher short isoform (CypherS) and Calsarcin-1 at the Z-line. CypherS and Calsarcin-1 proteins are significantly downregulated in ENH None mouse hearts resulting in wider and destabilized Z-lines, ultimately giving rise to dilated cardiomyopathy (PMID:20538684)	Enh;None;Kiaa0613, CypherS	PDZ and LIM domain protein 5;Myozenin-2;LIM domain-binding protein 3	20538684	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7571	Tmie-Pcdh15(CD1-2)-Lhfpl5 complex	Mouse	None	None	Q4KL25;Q8K467;Q99PJ1-2	328789;20776;11994	MI:0019-coimmunoprecipitation	GO:0007605;GO:0050910	sensory perception of sound;detection of mechanical stimulus involved in sensory perception of sound	36.25.01.03	hearing	Lhfpl5;Tmie;Pcdh15	None	The transmembrane protein TMIE forms a ternary complex with the tip-link component PCDH15 and its binding partner TMHS/LHFPL5. Alternative splicing of the PCDH15 cytoplasmic domain regulates formation of this ternary complex. The multisubunit composition of the transduction complex and the regulation of complex assembly by alternative splicing is likely critical for regulating channel properties in different hair cells and along the cochlea\u2019s tonotopic axis (PMID:25467981).	Tmhs;None;CD1-2	LHFPL tetraspan subfamily member 5 protein;Transmembrane inner ear expressed protein;Protocadherin-15	25467981	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
7590	CASP2(S isoform)-SPTAN1 complex	Human	CASP-2S-fodrin complex	HeLa cells, CDDP cells	P42575-2;Q13813	835;6709	MI:0069-mass spectrometry studies of complexes;MI:0019-coimmunoprecipitation;MI:0096-pull down	GO:0043066;GO:1904171	negative regulation of apoptotic process;negative regulation of bleb assembly	40.10.02.01	anti-apoptosis	CASP2;SPTAN1	None	CASP-2S-fodrin complex formation inhibits DNA damage-induced cytoplasmic fodrin cleavage and prevents the membrane blebbing and phosphatidylserine externalization that are characteristics of apoptosis in cancer cells.  The long isoform CASP-2L does not interact with fodrin (PMID:23840868).	ICH1,NEDD2, CASP-2S;NEAS SPTA2	Caspase-2;Spectrin alpha chain, non-erythrocytic 1	23840868	None	Homo sapiens (Human);Homo sapiens (Human)
7591	Del133-p53beta-RHOB complex	Human	None	None	P04637-8;P62745	7157;388	MI:0019-coimmunoprecipitation	GO:0043066	negative regulation of apoptotic process	40.10.02.01	anti-apoptosis	TP53;RHOB	None	delta133p53\u00df inhibits RhoB tumor suppressor activity, thereby protecting tumor cells from RhoB-induced apoptosis (PMID:28212429).	Del133-p53beta;ARH6,ARHB	Cellular tumor antigen p53;Rho-related GTP-binding protein RhoB	28212429	None	Homo sapiens (Human);Homo sapiens (Human)
